id_compuesto,formula,name,nombre,sustituyentes,enlace,densidad_g_mL,peso_molecular_g_mol,k_oh,doi_oh,k_cl,doi_cl,k_no3,doi_no3,k_o3,doi_o3,ap,pocp
1,CH3CH=CHCOOCH3,Methyl crotonate ,Crotonato de metilo,Hidrogenado,Insaturado,0,0,4.65E-11,https://doi.org/10.1021/jp2113889,2.20E-10,https://doi.org/10.1021/jp2113889,1.85E-15,https://doi.org/10.1039/B416574H,4.40E-18,https://doi.org/10.1002/kin.550250909,0,0
2,CH2=C(CH3)COOCH3,Methyl methacrylate,Metilmetacrilato,Hidrogenado,Insaturado,0,0,4.15E-11,https://doi.org/10.1016/j.cplett.2006.08.088,2.82E-10,https://doi.org/10.1016/j.atmosenv.2009.08.032,3.51E-15,https://doi.org/10.1016/j.atmosenv.2010.02.039,5.75E-18,10.1002/cphc.201000404,0,0
3,HCHO,Formaldehyde,Formaldehido,Hidrogenado,Saturado,0,0,8.90E-12,https://doi.org/10.1002/cphc.201402159,7.33E-11,https://doi.org/10.1063/1.555918,5.80E-16,https://doi.org/10.1063/1.556011,2.09E-24,https://doi.org/10.1002/kin.550080602,0,0
4,CH2=CHC(CH3)2OH,2-Methyl- 3-buten-2-ol,2-Metil-3-buten-2-ol,Hidrogenado,Insaturado,0,0,5.60E-11,10.1007/s10874-006-9041-y,4.70E-10,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O,8.60E-15,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O,8.60E-18,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O,0,0
5,CH3CH=CHCH2OH,Crotyl Alcohol,Crotil alcohol,Hidrogenado,Insaturado,0,0,8.38E-11,https://doi.org/10.1021/jp7111186,3.96E-10,https://doi.org/10.1016/j.cplett.2010.12.058,3.23E-13,https://doi.org/10.1021/jp206899w,2.51E-16,https://doi.org/10.1002/kin.550261206,0,0
6,C2H5CH=CHCH2OH,Cis 2-penten-1-Ol,Cis-2-penten-1-ol,Hidrogenado,Insaturado,0,0,1.06E-10,https://doi.org/10.1021/jp0041712,3.00E-10,https://doi.org/10.1039/C0CP00625D,3.11E-13,https://doi.org/10.1021/jp206899w,1.69E-16,https://doi.org/10.1002/kin.550261206,0,0
7,ClCH=CCl2,Trichloroethylene,Tricloroetileno ,Clorado,Insaturado,0,0,2.23E-12,https://doi.org/10.1063/1.555918,8.70E-11,https://doi.org/10.1007/s11172-010-0158-4,2.91E-16,https://doi.org/10.1063/1.556011,5.00E-20,https://doi.org/10.1063/1.556011,0,0
8,CH2=CHCOOCH3,Methylacrylate,Metilacrilato,Hidrogenado,Insaturado,0,0,1.29E-11,https://doi.org/10.1016/j.atmosenv.2006.03.003,2.11E-10,https://doi.org/10.1016/j.atmosenv.2009.08.032,1.00E-16,DOI: 10.1039/A904613E,1.19E-18,10.1002/cphc.201000404,0,0
9,CH2=C(CH3)CH2Cl,3-Chloro-2-methyl-1-pronene,3-Cloro-2-metil-1-propeno,Clorado,Insaturado,0,0,3.57E-11,https://doi.org/10.1016/j.atmosenv.2017.09.031,2.40E-10,https://doi.org/10.1016/j.atmosenv.2017.09.031,1.99E-14,https://doi.org/10.1016/j.atmosenv.2017.09.031,3.03E-18,https://doi.org/10.1016/j.atmosenv.2017.09.031,0,0
10,CH3C=C(CH3)COCH3,3-Methyl-3-penten-2-one,3-Metil-3-penten-2-ona,Hidrogenado,Insaturado,0,0,4.20E-11,https://doi.org/10.1016/0960-1686(92)90124-4,3.00E-10,https://doi.org/10.1039/C4CP05461J,1.55E-13,https://doi.org/10.1039/B416574H,4.07E-17,https://doi.org/10.1039/C4CP05461J,0,0
11,C10H16,Camphene,Canfeno,Hidrogenado,Insaturado,0,0,5.67E-11,https://doi.org/10.1007/s11356-017-0646-2,3.00E-10,https://doi.org/10.1039/C8RA04931A,6.54E-13,https://doi.org/10.1016/0960-1686(90)90144-C,9.00E-19,https://doi.org/10.1016/0960-1686(90)90144-C,0,0
12,CH3COOCH2CH=CH2,Allyl Acetate,Acetato de alilo,Hidrogenado,Insaturado,0,0,3.10E-11,https://doi.org/10.1021/acs.jpca.7b10599,1.30E-10,https://doi.org/10.1007/s11356-008-0096-y,1.10E-14,https://doi.org/10.1021/acs.jpca.7b10599,1.80E-18,https://doi.org/10.1021/acs.jpca.7b10599,0,0
13,ClCH=CHCl,"Cis-1,2-dichloroethylene","Cis-1,2dicloroetileno",Clorado,Insaturado,0,0,2.75E-12,https://doi.org/10.1021/j100154a039,1.22E-10,https://doi.org/10.1007/s11172-010-0158-4,1.39E-16,https://doi.org/10.1063/1.555887,4.90E-21, https://doi.org/10.1002/kin.20533,0,0
14,CH2=CHCH2Cl,Allyl chloride,Cloruro de alilo,Clorado,Insaturado,0,0,1.72E-11,https://doi.org/10.1016/S1352-2310(03)00297-8,7.47E-11,https://doi.org/10.1023/A:1024073012242,5.80E-16,https://doi.org/10.1039/FT9969204385,1.79E-18,https://doi.org/10.1002/kin.10093,0,0
15,C2H5COCH=CH2,Ethyl Vinyl ketone,Etil vinil cetona,Hidrogenado,Insaturado,0,0,2.90E-11,https://doi.org/10.1016/j.cplett.2010.12.059,2.91E-10,https://doi.org/10.1016/j.cplett.2009.07.103,3.39E-14,https://doi.org/10.1016/0960-1686(92)90124-4,6.00E-18,https://doi.org/10.1002/kin.550250909,0,0
16,CH3CH2CH(OH)CH=CH2,1-Penten-3-Ol,1-Penten-3-ol ,Hidrogenado,Insaturado,0,0,7.12E-11,https://doi.org/10.5194/acp-11-3347-2011,2.35E-10,https://doi.org/10.1039/C0CP00625D,1.39E-14,10.1016/ j.atmosenv.2006.10.034,1.79E-17,https://doi.org/10.1002/kin.550261206,0,0
17,CH2=CHCOO(CH2)3CH3,Butylacrylate,Butilacrilato,Hidrogenado,Insaturado,0,0,2.28E-11,10.1021/jp901755x,2.50E-10,https://doi.org/10.1007/s11356-008-0096-y,2.11E-16,https://doi.org/10.1016/j.atmosenv.2010.02.039,2.40E-18,https://doi.org/10.1016/j.cplett.2009.03.070,0,0
18,CH2=CHCOOC2H5,Ethylacrylate,Etillactato,Hidrogenado,Insaturado,0,0,1.70E-11,/10.1016/j.atmosenv.2006.03.003,2.53E-10,/10.1016/j.cplett.2009.07.103 ,1.80E-16,/10.1016/j.atmosenv.2010.02.039,1.30E-18,/10.1021/jp104451v,0,0
19,C2H5CH=CHCH2CH2OH,Trans-3-hexen-1-ol,Trans-3-hexen-1-ol,Hidrogenado,Insaturado,0,0,1.14E-10,/10.1021/es506125c,3.42E-10,/10.1016/j.atmosenv.2014.05.050,1.56E-13,/10.1039/B510835G,5.97E-17,https://doi.org/10.1016/j.atmosenv.2020.117306,0,0
20,C10H18O,Cineole,Cineol,Hidrogenado,Saturado,0,0,1.11E-11,https://doi.org/10.1021/es00080a007,2.20E-10,/10.1016/j.cplett.2019.136901,1.70E-16,https://doi.org/10.1021/es00080a007,1.50E-19,/10.1002/kin.550220807,0,0
21, C6H5CH2OH,Benzyl alcohol,Alcohol bencilico,Hidrogenado,Insaturado,0,0,2.80E-11,/10.1016/j.atmosenv.2008.11.001,9.30E-11,/10.1021/j100062a023,4.00E-15,/10.1002/kin.20726,6.00E-19,/10.1016/j.atmosenv.2008.11.001,0,0
22,C10H16,Pinene,Pineno,Hidrogenado,Insaturado,0,0,5.33E-11,https://doi.org/10.1080/00268976.2013.840395,4.70E-10,https://doi.org/10.1021/jp303221w,5.17E-12,https://doi.org/10.1016/j.atmosenv.2013.01.036,1.07E-16,https://doi.org/10.1016/j.atmosenv.2013.01.036,0,0
23,CH3OC6H5,Anisole,Anisol,Hidrogenado,Insaturado,0,0,2.08E-11,https://doi.org/10.1021/acs.jpca.5b03232,1.07E-10,https://doi.org/10.1021/jp4114877,9.00E-17,https://doi.org/10.1021/es00164a015,0.00E+00,no hay,0,0
24,CH3CH2CHO,Propanal ,Propanal,Hidrogenado,Saturado,0,0,1.99E-11,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,1.33E-10,https://doi.org/10.1063/1.556011,6.50E-15,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,0.00E+00,no hay,0,0
25,CH3COCH3,Acetone,Acetona grado HPLC,Hidrogenado,Saturado,0,0,2.19E-13,https://doi.org/10.1063/1.556011,3.50E-12,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,3.00E-17,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,0.00E+00,no hay,0,0
26,CH3CH2CH2CHO,Butylaldehyde,Butilaldehido,Hidrogenado,Saturado,0,0,2.38E-11,https://doi.org/10.1039/B103623H,1.44E-10,https://doi.org/10.1021/jp303221w,1.00E-14,10.1002/(SICI)1097-4601(2000)32:53.0.CO;2-G,0.00E+00,no hay,0,0
27,CH?(CH?)?OH,n-Amyl alcohol,Alcohol n-amilico,Hidrogenado,Saturado,0,0,1.00E-11,https://doi.org/10.1016/j.cplett.2013.07.042,2.90E-10,https://doi.org/10.1016/j.cplett.2013.07.042,0.00E+00,no hay,0.00E+00,no hay,0,0
28,CF?COOH,Trifluoroacetic acid,Ácido trifluoro acético,Fluorado,Saturado,0,0,1.40E-13,https://doi.org/10.1063/1.556011,1.00E+17,https://doi.org/10.1002/kin.550270209,0.00E+00,no hay,0.00E+00,no hay,0,0
29,(CH3CH2CH2)2S,Dipropyl sulphide,Dipropil sulfuro,Azufrado,Saturado,0,0,2.15E-11,https://doi.org/10.1002/kin.550220605,7.02E-10,https://doi.org/10.1039/FT9969200369,0.00E+00,no hay,0.00E+00,no hay,0,0
30,CH3CO2CH2CH=CHCH2CH2CH3,Trans-2-hexenylacetate,Trans-2-hexenilacetato,Hidrogenado,Insaturado,0,0,6.88E-11,https://doi.org/10.1016/j.atmosenv.2017.04.033,3.10E-10,https://doi.org/10.1016/j.atmosenv.2017.04.033,0.00E+00,no hay,2.12E-17,https://doi.org/10.1002/(SICI)1097-4601(1996)28:5<373::AID-KIN6>3.0.CO;2-S,0,0
31,CF?CF?COOH,Pentafluoro propanoic acid,Acido pentafluoropropanoico ,Fluorado,Saturado,0,0,1.69E-13,https://doi.org/10.1021/jp036343b,1E10?17,https://doi.org/10.1016/j.cplett.2003.09.085,0.00E+00,no hay,0.00E+00,no hay,0,0
32,C6H10(=O),Cyclohexanone,Ciclohexanona,Hidrogenado,Saturado,0,0,5.35E-12,10.1021/jp209654h,1.70E-10,10.1023/B:JOCH.0000044424.22309.d8,0.00E+00,no hay,0.00E+00,no hay,0,0
33,CF3COOCH3,Methyl trifluoroacetate,Metil trifluoroacetato,Fluorado,Saturado,0,0,4.97E-14,https://doi.org/10.1016/j.atmosenv.2007.05.013,9.00E-14,https://doi.org/10.1016/j.cplett.2008.01.004,0.00E+00,no hay,0.00E+00,no hay,0,0
34,CH3COCOCH3,"2,3- Butanodione","2,3-Butanodiona",Hidrogenado,Saturado,0,0,2.48E-13,https://doi.org/10.1021/j100326a026,5.27E-13,10.1039/b313587j,0.00E+00,no hay,0.00E+00,no hay,0,0
35,CH3COO(CH2)4CH3,Amyl acetate,Acetato de amilo,Hidrogenado,Saturado,0,0,7.59E-12,https://doi.org/10.1021/jp9606218,1.79E-10,https://doi.org/10.1007/s11356-014-2913-9,0.00E+00,no hay,0.00E+00,no hay,0,0
36,CH3(CH2)7OH,n-Octyl alcohol,Alcohol n-Octilico,Hidrogenado,Saturado,0,0,1.44E-11,https://doi.org/10.1002/kin.550221102,3.94E-10,https://doi.org/10.1002/kin.550221102,0.00E+00,no hay,0.00E+00,no hay,0,0
37,(CH3)2CHCH2OH.,Isobutyl alcohol,Alcohol Isobutilico,Hidrogenado,Saturado,0,0,9.20E-12,10.1039/b316514k,1.96E-10,https://doi.org/10.1002/kin.10109,0.00E+00,no hay,0.00E+00,no hay,0,0
38,C?H??,Cyclopentane,Ciclopentano ,Hidrogenado,Saturado,0,0,4.97E-12,https://acp.copernicus.org/articles/3/2233/2003/acp-3-2233-2003.pdf,2.31E-11,https://doi.org/10.1021/j100191a031,0.00E+00,no hay,0.00E+00,no hay,0,0
39,CH3COCH2COCF3,"1,1,1-trifluoro-2,4-pentanedione","1,1,1-trifluoro-2,4-pentanodiona",Fluorado,Insaturado y Saturado,1.27,154.09,1.30E-11,Por Publica Pedro,,Por Publica Pedro,0.00E+00,no hay,0.00E+00,no hay,0,0
40,CF3C(O)CH2C(O)CH2CH3,"1,1,1-Trifluoro-2,4-hexanedione ","1,1,1-Trifluoro-2,4-hexanodiona",Fluorado,Insaturado y Saturado,1.22,168.11,2.30E-11,Por Publica Pedro,,Por Publica Pedro,0.00E+00,no hay,0.00E+00,no hay,0,0
41,CF3C(O)CH2C(O)CH(CH3)2,"1,1,1-Trifluoro-5-methyl-2,4-hexanedione ","1,1,1-Trifluoro-5-metil-2,4-hexanodiona",Fluorado,Insaturado y Saturado,1.2171,182.14,3.20E-11,Por Publica Pedro,,Por Publica Pedro,0.00E+00,no hay,0.00E+00,no hay,0,0
42,CH3CH2COOCH=CH2,Vinyl propionate,Propionato de vinilo,Hidrogenado,Insaturado,0,0,2.46E-11,/10.1016/j.cplett.2010.12.059,2.06E-10,/10.1016/j.cplett.2009.07.103,0.00E+00,no hay,5.30E-18,/10.1016/j.cplett.2013.05.049,0,0
43,CH3CH2CH2COOCH=CH2,Vinyl butyrate,Butirato de vinilo,Hidrogenado,Insaturado,0,0,2.61E-11,http://dx.doi.org/10.1016/j.cplett.2016.04.019,2.48E-10,http://dx.doi.org/10.1016/j.cplett.2016.04.019,0.00E+00,no hay,0.00E+00,no hay,0,0
44,CH3CH2CH2CO2CH2CH=CH2,Allyl butyrate,Butirato de Alilo,Hidrogenado,Insaturado,0,0,2.89E-11,http://dx.doi.org/10.1016/j.cplett.2016.04.019,2.25E-10,http://dx.doi.org/10.1016/j.cplett.2016.04.019,0.00E+00,no hay,0.00E+00,no hay,0,0
45,CH3CH2CH2CH=CHCH2OH,Trans-2-hexen-1-ol,Trans-2-hexen-1-ol,Hidrogenado,Insaturado,0,0,1.00E-10,/10.1016/j.atmosenv.2013.05.019,3.49E-10,/10.1016/j.atmosenv.2014.05.050,1.30E-13,/10.1039/B510835G,0.00E+00,no hay,0,0
46,CH3CO2CH2CH2CH=CHC2H5,Cis-3-hexenyl-acetate,Cis-3-hexenil-acetato,Hidrogenado,Insaturado,0,0,7.84E-11,/10.1002/kin.550271002,0.00E+00,no hay,2.46E-13,/10.1002/kin.550271002,5.40E-17,/10.1002/kin.550271002,0,0
47,CH3(CH2)5CH=CHCHO,Trans-2-nonenal,Trans-2-nonenal,Hidrogenado,Insaturado,0,0,4.35E-11,10.1002/kin.20424,0.00E+00,no hay,0.00E+00,no hay,2.05E-18,10.1039/c4ra17283c,0,0
48,CH3(CH2)4CH=CHCHO,Trans-2-octenal,Trans-2-octenal,Hidrogenado,Insaturado,0,0,4.05E-11,10.1002/kin.20424,0.00E+00,no hay,5.60E-15,10.1021/jp3071234.,2.37E-18,10.1039/c4ra17283c,0,0
49,H2C=C(CH3)CO2CH2CF3,"2,2,2-trifluoroethyl methacrylate","2,2,2-Trifluoroetil metacrilato",Fluorado,Insaturado,0,0,1.70E-11,/10.1039/c9ra08034a,2.22E-10,/10.1016/j.atmosenv.2018.01.055,0.00E+00,no hay,0.00E+00,no hay,0,0
50,H2C=C(CH3)CO2CH(CF3)2,"1,1,1,3,3,3, -hexafluoroisopropylmethacrylate","1,1,1,3,3,3,-Hexafluoroisopropilmetacrilato",Fluorado,Insaturado,0,0,1.67E-11,/10.1039/c9ra08034a,2.44E-10,/10.1016/j.atmosenv.2018.01.055,0.00E+00,no hay,0.00E+00,no hay,0,0
51,CH2=CHC(O)OCH(CF3)2,"1,1,1,3,3,3-hexafluoroisopropylacrylate","1,1,1,3,3,3-hexafluoroisopropilacrylato",Fluorado,Insaturado,0,0,1.22E-11,/10.1039/c9ra08034a,1.39E-10,/10.1016/j.atmosenv.2018.01.055,0.00E+00,no hay,0.00E+00,no hay,0,0
52,CH3COCH(Cl)CO2CH3,Methyl 2-chloroacetoacetate,Metil-2-cloroacetoacetato,Clorado,Saturado,0,0,2.70E-11,Por Publica Vianni,2.25E-10,Por Publica Vianni,0.00E+00,no hay,0.00E+00,no hay,0,0
53,CH3COCH(Cl)CO2CH2CH3,Ethyl 2-chloroacetoacetate,Etil-2-cloroacetoacetato,Clorado,Saturado,0,0,3.37E-11,Por Publica Vianni,2.41E-10,Por Publica Vianni,0.00E+00,no hay,0.00E+00,no hay,0,0
